Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-03-03,The Cable Guy,1996,https://boxd.it/1HiH0z,,Yes,,2021-03-02
2022-04-13,Hunt for the Wilderpeople,2016,https://boxd.it/2KtcRT,4,,,2022-04-13
