movie387426	schema:character	Johnny Wilcox
movie387426	schema:genre	genre12
genre12	rdf:type	schema:Text
genre12	ex:name	Adventure
movie387426	schema:genre	genre18
genre18	rdf:type	schema:Text
genre18	ex:name	Drama
movie387426	schema:genre	genre878
genre878	rdf:type	schema:Text
genre878	ex:name	Science Fiction
movie387426	schema:countryOfOrigin	US
movie387426	schema:productionCompany	company81024
company81024	rdf:type	schema:Company
company81024	schema:name	Kate Street Picture Company
company81024	ex:country	US
movie387426	schema:productionCompany	company81
company81	rdf:type	schema:Company
company81	schema:name	Plan B Entertainment
company81	ex:country	US
movie387426	schema:productionCompany	company62312
company62312	rdf:type	schema:Company
company62312	schema:name	Lewis Pictures
company62312	ex:country	KR
movie387426	ex:productionCountry	KR
KR	rdf:type	schema:Country
KR	schema:name	South Korea
movie387426	ex:productionCountry	US
US	rdf:type	schema:Country
US	schema:name	United States of America
movie387426	schema:inLanguage	en
en	rdf:type	schema:Language
en	schema:name	English
movie387426	schema:inLanguage	ko
ko	rdf:type	schema:Language
ko	schema:name	Korean
movie387426	schema:inLanguage	es
es	rdf:type	schema:Language
es	schema:name	Spanish
movie472796	rdf:type	schema:Movie
movie472796	schema:name	Dominion
movie472796	schema:datePublished	2018
movie472796	schema:aggregateRating	8.449
movie472796	schema:review	4.0
movie472796	ex:liked	Yes
movie472796	ex:lastWatched	2025-07-19
movie472796	ex:timesWatched	1
movie472796	ex:originalLanguage	en
movie472796	ex:popularity	0.519
movie472796	schema:duration	120
movie472796	schema:director	person2013572
person2013572	rdf:type	schema:Person
person2013572	schema:name	Chris Delforce
movie472796	schema:actor	person108916
person108916	rdf:type	schema:Person
person108916	schema:name	Rooney Mara
movie472796	schema:actor	person73421
person73421	rdf:type	schema:Person
person73421	schema:name	Joaquin Phoenix
movie472796	schema:actor	person1136517
person1136517	rdf:type	schema:Person
person1136517	schema:name	Sia
movie472796	schema:actor	person1590797
person1590797	rdf:type	schema:Person
person1590797	schema:name	Sadie Sink
movie472796	schema:actor	person132833
person132833	rdf:type	schema:Person
person132833	schema:name	Kat Von D
movie472796	schema:character	Narrator (voice)
movie472796	schema:character	Narrator (voice)
movie472796	schema:character	Narrator (voice)
movie472796	schema:character	Narrator (voice)
movie472796	schema:character	Narrator (voice)
movie472796	schema:genre	genre99
genre99	rdf:type	schema:Text
genre99	ex:name	Documentary
movie472796	schema:countryOfOrigin	AU
movie472796	schema:countryOfOrigin	US
movie472796	schema:productionCompany	company103661
company103661	rdf:type	schema:Company
company103661	schema:name	Aussie Farms
company103661	ex:country	
movie472796	ex:productionCountry	AU
AU	rdf:type	schema:Country
AU	schema:name	Australia
movie472796	schema:inLanguage	en
en	rdf:type	schema:Language
en	schema:name	English
movie472796	schema:inLanguage	pt
pt	rdf:type	schema:Language
pt	schema:name	Portuguese
movie1061474	rdf:type	schema:Movie
movie1061474	schema:name	Superman
movie1061474	schema:datePublished	2025
movie1061474	schema:aggregateRating	7.582
movie1061474	schema:review	3.5
movie1061474	ex:liked	Yes
movie1061474	ex:lastWatched	2025-07-16
movie1061474	ex:timesWatched	1
movie1061474	ex:originalLanguage	en
movie1061474	ex:popularity	238.0448
movie1061474	schema:duration	130
movie1061474	schema:director	person15218
person15218	rdf:type	schema:Person
person15218	schema:name	James Gunn
movie1061474	schema:actor	person1785590
person1785590	rdf:type	schema:Person
person1785590	schema:name	David Corenswet
movie1061474	schema:actor	person993774
person993774	rdf:type	schema:Person
person993774	schema:name	Rachel Brosnahan
movie1061474	schema:actor	person3292
person3292	rdf:type	schema:Person
person3292	schema:name	Nicholas Hoult
movie1061474	schema:actor	person39391
person39391	rdf:type	schema:Person
person39391	schema:name	Edi Gathegi
movie1061474	schema:actor	person51797
person51797	rdf:type	schema:Person
person51797	schema:name	Nathan Fillion
movie1061474	schema:character	Superman
movie1061474	schema:character	Lois Lane
movie1061474	schema:character	Lex Luthor
movie1061474	schema:character	Mr. Terrific
movie1061474	schema:character	Guy Gardner
movie1061474	schema:genre	genre878
genre878	rdf:type	schema:Text
genre878	ex:name	Science Fiction
movie1061474	schema:genre	genre12
genre12	rdf:type	schema:Text
genre12	ex:name	Adventure
movie1061474	schema:genre	genre28
genre28	rdf:type	schema:Text
genre28	ex:name	Action
movie1061474	schema:countryOfOrigin	US
movie1061474	schema:productionCompany	company184898
company184898	rdf:type	schema:Company
company184898	schema:name	DC Studios
company184898	ex:country	US
movie1061474	schema:productionCompany	company94218
company94218	rdf:type	schema:Company
company94218	schema:name	Troll Court Entertainment
company94218	ex:country	US
movie1061474	schema:productionCompany	company11565
company11565	rdf:type	schema:Company
company11565	schema:name	The Safran Company
company11565	ex:country	US
