subject	predicate	object
castPair212	schema:actor	person1339108
castPair213	schema:actor	person1339108
castPair214	schema:actor	person139
castPair215	schema:actor	person139
castPair216	schema:actor	person139
castPair217	schema:actor	person139
castPair218	schema:actor	person139
castPair219	schema:actor	person140
castPair220	schema:actor	person140
castPair221	schema:actor	person140
castPair222	schema:actor	person140
castPair223	schema:actor	person140
castPair224	schema:actor	person141
castPair225	schema:actor	person141
castPair226	schema:actor	person141
castPair227	schema:actor	person141
castPair228	schema:actor	person14409
castPair229	schema:actor	person14409
castPair230	schema:actor	person14409
castPair231	schema:actor	person14409
castPair232	schema:actor	person14409
castPair233	schema:actor	person14409
castPair234	schema:actor	person144655
castPair235	schema:actor	person144655
castPair236	schema:actor	person144655
castPair237	schema:actor	person144655
castPair238	schema:actor	person14592
castPair239	schema:actor	person14592
castPair240	schema:actor	person14592
castPair241	schema:actor	person147
castPair242	schema:actor	person147
castPair243	schema:actor	person147
castPair244	schema:actor	person1471280
castPair245	schema:actor	person1471280
castPair246	schema:actor	person1471280
castPair247	schema:actor	person1471280
castPair248	schema:actor	person149894
castPair249	schema:actor	person149894
castPair250	schema:actor	person149894
castPair251	schema:actor	person15100
castPair252	schema:actor	person15100
castPair253	schema:actor	person15100
castPair254	schema:actor	person15100
castPair255	schema:actor	person15100
castPair256	schema:actor	person15100
castPair257	schema:actor	person15100
castPair258	schema:actor	person15277
castPair259	schema:actor	person15277
castPair260	schema:actor	person1532
castPair261	schema:actor	person1532
castPair262	schema:actor	person1532
castPair263	schema:actor	person1532
castPair264	schema:actor	person1532
castPair265	schema:actor	person15757
castPair266	schema:actor	person15757
castPair267	schema:actor	person15757
castPair268	schema:actor	person15757
castPair269	schema:actor	person15757
castPair270	schema:actor	person15758
castPair271	schema:actor	person15758
castPair272	schema:actor	person15758
castPair273	schema:actor	person15758
castPair274	schema:actor	person15760
castPair275	schema:actor	person15760
castPair276	schema:actor	person15760
castPair277	schema:actor	person1649152
castPair278	schema:actor	person16828
castPair279	schema:actor	person16828
castPair280	schema:actor	person16828
castPair281	schema:actor	person16828
castPair282	schema:actor	person16828
castPair283	schema:actor	person16828
castPair284	schema:actor	person16940
castPair285	schema:actor	person16940
castPair286	schema:actor	person16940
castPair287	schema:actor	person16940
castPair288	schema:actor	person17051
castPair289	schema:actor	person17051
castPair290	schema:actor	person17051
castPair291	schema:actor	person17051
castPair292	schema:actor	person17051
castPair293	schema:actor	person17064
castPair294	schema:actor	person17064
castPair295	schema:actor	person17067
castPair296	schema:actor	person17067
castPair297	schema:actor	person1709
castPair298	schema:actor	person1709
castPair299	schema:actor	person1709
castPair300	schema:actor	person1709
castPair301	schema:actor	person1710
castPair302	schema:actor	person1710
castPair303	schema:actor	person1710
castPair304	schema:actor	person1711
castPair305	schema:actor	person1711
castPair306	schema:actor	person17276
castPair307	schema:actor	person17276
castPair308	schema:actor	person17276
castPair309	schema:actor	person17276
castPair310	schema:actor	person17276
castPair311	schema:actor	person17276
castPair312	schema:actor	person17414
castPair313	schema:actor	person17414
castPair314	schema:actor	person17414
castPair315	schema:actor	person17414
castPair316	schema:actor	person17414
castPair317	schema:actor	person17414
castPair318	schema:actor	person17604
castPair319	schema:actor	person17604
castPair320	schema:actor	person17604
castPair321	schema:actor	person17605
castPair322	schema:actor	person17605
castPair323	schema:actor	person17605
castPair324	schema:actor	person17605
castPair325	schema:actor	person18072
castPair326	schema:actor	person18072
castPair327	schema:actor	person18072
castPair328	schema:actor	person1874
castPair329	schema:actor	person1874
castPair330	schema:actor	person1874
castPair331	schema:actor	person188229
castPair332	schema:actor	person188229
castPair333	schema:actor	person188229
castPair334	schema:actor	person188229
castPair335	schema:actor	person188229
castPair336	schema:actor	person18897
castPair337	schema:actor	person18897
castPair338	schema:actor	person18897
castPair339	schema:actor	person18897
castPair340	schema:actor	person1896
castPair341	schema:actor	person1896
castPair342	schema:actor	person18980
castPair343	schema:actor	person18980
castPair344	schema:actor	person18980
castPair345	schema:actor	person18980
castPair346	schema:actor	person18980
castPair347	schema:actor	person18980
castPair348	schema:actor	person18997
castPair349	schema:actor	person18998
castPair350	schema:actor	person18998
castPair351	schema:actor	person18998
castPair352	schema:actor	person18999
castPair353	schema:actor	person18999
castPair354	schema:actor	person192
castPair355	schema:actor	person1923
castPair356	schema:actor	person1923
castPair357	schema:actor	person19274
castPair358	schema:actor	person19274
castPair359	schema:actor	person19274
castPair360	schema:actor	person19274
castPair361	schema:actor	person19292
castPair362	schema:actor	person19292
castPair363	schema:actor	person19292
castPair364	schema:actor	person19292
castPair365	schema:actor	person19292
castPair366	schema:actor	person19292
castPair367	schema:actor	person1937839
castPair368	schema:actor	person19923
castPair369	schema:actor	person2
castPair370	schema:actor	person2
castPair371	schema:actor	person2
castPair372	schema:actor	person2
castPair373	schema:actor	person2
castPair374	schema:actor	person2
castPair375	schema:actor	person2
castPair376	schema:actor	person205
castPair377	schema:actor	person206
castPair378	schema:actor	person206
castPair379	schema:actor	person20664
castPair380	schema:actor	person20664
castPair381	schema:actor	person20664
castPair382	schema:actor	person20664
castPair383	schema:actor	person20664
castPair384	schema:actor	person20664
castPair385	schema:actor	person208677
castPair386	schema:actor	person21007
castPair387	schema:actor	person21007
castPair388	schema:actor	person21007
castPair389	schema:actor	person21007
castPair390	schema:actor	person21007
castPair391	schema:actor	person212
castPair392	schema:actor	person212
castPair393	schema:actor	person2141479
castPair394	schema:actor	person215919
castPair395	schema:actor	person215919
castPair396	schema:actor	person215919
castPair397	schema:actor	person215919
castPair398	schema:actor	person215919
castPair399	schema:actor	person215919
castPair400	schema:actor	person215919
castPair401	schema:actor	person215919
castPair402	schema:actor	person2176
castPair403	schema:actor	person223768
castPair404	schema:actor	person223768
castPair405	schema:actor	person2283
castPair406	schema:actor	person2283
castPair407	schema:actor	person2283
castPair408	schema:actor	person2283
castPair409	schema:actor	person2283
castPair410	schema:actor	person2283
castPair411	schema:actor	person2283
castPair412	schema:actor	person23659
castPair413	schema:actor	person236695
castPair414	schema:actor	person236695
castPair415	schema:actor	person236695
castPair416	schema:actor	person236696
castPair417	schema:actor	person23679
castPair418	schema:actor	person23679
castPair419	schema:actor	person23679
castPair420	schema:actor	person23679
castPair421	schema:actor	person23679
castPair422	schema:actor	person2372
castPair423	schema:actor	person240171
castPair424	schema:actor	person240171
castPair425	schema:actor	person24264
castPair426	schema:actor	person24264
castPair427	schema:actor	person24264
castPair428	schema:actor	person24264
castPair429	schema:actor	person24343
castPair430	schema:actor	person24343
castPair431	schema:actor	person24343
castPair432	schema:actor	person2440
castPair433	schema:actor	person2449
castPair434	schema:actor	person2449
castPair435	schema:actor	person25072
castPair436	schema:actor	person25072
castPair437	schema:actor	person25136
castPair438	schema:actor	person25136
castPair439	schema:actor	person2535
castPair440	schema:actor	person25409
castPair441	schema:actor	person25409
castPair442	schema:actor	person2632
castPair443	schema:actor	person2632
castPair444	schema:actor	person2632
castPair445	schema:actor	person2632
castPair446	schema:actor	person2632
castPair447	schema:actor	person27762
castPair448	schema:actor	person27762
castPair449	schema:actor	person27762
castPair450	schema:actor	person27762
castPair451	schema:actor	person27972
castPair452	schema:actor	person27972
castPair453	schema:actor	person27972
castPair454	schema:actor	person27972
