variant,metric,hit,ndcg,recall,seeds
LO1 KGE-only (cos),@10,0.03076923076923077,0.03076923076923077,0.03076923076923077,130
LO1+LO2 (final),@10,0.03076923076923077,0.023076923076923078,0.03076923076923077,130
LO3 (GNN),@10,0.03076923076923077,0.03076923076923077,0.03076923076923077,130
Ensemble λ=0.2,@10,0.03076923076923077,0.023076923076923078,0.03076923076923077,130
Ensemble λ=0.4,@10,0.03076923076923077,0.023076923076923078,0.03076923076923077,130
Ensemble λ=0.6,@10,0.03076923076923077,0.023076923076923078,0.03076923076923077,130
Ensemble λ=0.8,@10,0.03076923076923077,0.023076923076923078,0.03076923076923077,130
