subject	predicate	object
movie70160	ex:featuresStrongCastPair	castPair408
movie70160	ex:featuresStrongCastPair	castPair410
movie70160	ex:featuresStrongCastPair	castPair407
movie70160	ex:featuresStrongCastPair	castPair585
movie70160	ex:featuresStrongCastPair	castPair587
movie70160	ex:featuresStrongCastPair	castPair584
movie70160	ex:featuresStrongCastPair	castPair586
movie115	ex:featuresStrongCastPair	castPair117
movie115	ex:featuresStrongCastPair	castPair118
movie115	ex:featuresStrongCastPair	castPair574
movie939243	ex:featuresStrongCastPair	castPair378
movie939243	ex:featuresStrongCastPair	castPair377
movie939243	ex:featuresStrongCastPair	castPair58
movie939243	ex:featuresStrongCastPair	castPair60
movie939243	ex:featuresStrongCastPair	castPair56
movie939243	ex:featuresStrongCastPair	castPair59
movie939243	ex:featuresStrongCastPair	castPair57
movie939243	ex:featuresStrongCastPair	castPair62
movie939243	ex:featuresStrongCastPair	castPair64
movie939243	ex:featuresStrongCastPair	castPair63
movie939243	ex:featuresStrongCastPair	castPair61
movie939243	ex:featuresStrongCastPair	castPair385
movie939243	ex:featuresStrongCastPair	castPair81
movie939243	ex:featuresStrongCastPair	castPair83
movie939243	ex:featuresStrongCastPair	castPair82
movie675353	ex:featuresStrongCastPair	castPair60
movie675353	ex:featuresStrongCastPair	castPair56
movie675353	ex:featuresStrongCastPair	castPair58
movie675353	ex:featuresStrongCastPair	castPair57
movie675353	ex:featuresStrongCastPair	castPair59
movie675353	ex:featuresStrongCastPair	castPair64
movie675353	ex:featuresStrongCastPair	castPair62
movie675353	ex:featuresStrongCastPair	castPair61
movie675353	ex:featuresStrongCastPair	castPair63
movie675353	ex:featuresStrongCastPair	castPair378
movie675353	ex:featuresStrongCastPair	castPair377
movie675353	ex:featuresStrongCastPair	castPair83
movie675353	ex:featuresStrongCastPair	castPair81
movie675353	ex:featuresStrongCastPair	castPair82
movie675353	ex:featuresStrongCastPair	castPair385
movie454626	ex:featuresStrongCastPair	castPair60
movie454626	ex:featuresStrongCastPair	castPair56
movie454626	ex:featuresStrongCastPair	castPair58
movie454626	ex:featuresStrongCastPair	castPair57
movie454626	ex:featuresStrongCastPair	castPair59
movie454626	ex:featuresStrongCastPair	castPair64
movie454626	ex:featuresStrongCastPair	castPair62
movie454626	ex:featuresStrongCastPair	castPair61
movie454626	ex:featuresStrongCastPair	castPair63
movie454626	ex:featuresStrongCastPair	castPair378
movie454626	ex:featuresStrongCastPair	castPair377
movie454626	ex:featuresStrongCastPair	castPair83
movie454626	ex:featuresStrongCastPair	castPair81
movie454626	ex:featuresStrongCastPair	castPair82
movie454626	ex:featuresStrongCastPair	castPair385
movie10191	ex:featuresStrongCastPair	castPair563
movie10191	ex:featuresStrongCastPair	castPair562
movie10191	ex:featuresStrongCastPair	castPair309
movie10191	ex:featuresStrongCastPair	castPair307
movie10191	ex:featuresStrongCastPair	castPair311
movie10191	ex:featuresStrongCastPair	castPair306
movie10191	ex:featuresStrongCastPair	castPair310
movie10191	ex:featuresStrongCastPair	castPair308
