Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-06-18,Threat Level Midnight,,,5,,,2022-06-18
2023-03-28,The Dumbest Boy Alive,2016,,3.5,,"youtube, shuffledwatchlist",2023-03-27
2024-11-25,Arcane,2024,,5,,,2024-11-24
