candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score
28053,City Island,2009.0,0.0,0.4532,0.1813,The Meyerowitz Stories (New and Selected),1.0,0.0588,0.0,0.0,0.9651,1.0,0.9884,0.876,city island,2009,[],[],False,False,False,False,False,0
929,Godzilla,1998.0,0.3038,0.5221,0.3912,The Day After Tomorrow,0.75,0.0189,0.0,1.0,0.8825,1.0,0.9615,0.7732,godzilla,1998,[],[],False,False,False,False,False,0
11159,Secrets & Lies,1996.0,0.0,0.4545,0.1818,Marriage Story,1.0,0.0526,0.0,0.0,0.9862,1.0,0.9523,0.9418,secrets & lies,1996,[],[],False,False,False,False,False,0
10130,Gorillas in the Mist,1988.0,0.0,0.4542,0.1817,Steve Jobs,1.0,0.0435,0.0,0.0,0.9731,1.0,0.9966,0.941,gorillas in the mist,1988,[],[],False,False,False,False,False,0
12102,Kramer vs. Kramer,1979.0,0.0,0.4542,0.1817,The Straight Story,1.0,0.037,0.0,0.0,0.9731,1.0,0.9944,0.9685,kramer vs. kramer,1979,[],[],False,False,False,False,False,0
25944,Blood for Dracula,1974.0,0.0,0.4567,0.1827,Fright Night,1.0,0.0667,0.0,0.0,0.995,1.0,0.9983,0.875,blood for dracula,1974,[],[],False,False,False,False,False,0
235,Stand by Me,1986.0,0.0,0.4565,0.1826,Trainspotting,1.0,0.0476,0.0,0.0,0.9862,1.0,0.9691,0.9848,stand by me,1986,[],[],False,False,False,False,False,0
1402,The Pursuit of Happyness,2006.0,0.0,0.4565,0.1826,The Greatest Showman,1.0,0.0625,0.0,0.0,0.9231,1.0,0.9607,0.9952,the pursuit of happyness,2006,[],[],False,False,False,False,False,0
11025,New York Minute,2004.0,0.0,0.4562,0.1825,The Inbetweeners Movie,1.0,0.0417,0.0,0.0,0.9802,1.0,0.9913,0.9857,new york minute,2004,[],[],False,False,False,False,False,0
1571,Live Free or Die Hard,2007.0,0.0,0.4564,0.1825,Ballerina,0.6667,0.0,0.0,1.0,0.995,1.0,0.0,0.7987,live free or die hard,2007,[],[],False,False,False,False,False,0
837881,She Said,2022.0,0.0,0.4564,0.1825,Steve Jobs,1.0,0.0435,0.0256,0.0,0.9731,1.0,0.9833,0.8942,she said,2022,[],[],False,False,False,False,False,0
10149,Smoke,1995.0,0.0,0.4562,0.1825,The Royal Tenenbaums,1.0,0.0714,0.0,0.0,0.9978,1.0,0.9077,0.9327,smoke,1995,[],[],False,False,False,False,False,0
2577,Code 46,2003.0,0.0,0.4559,0.1824,Monsters,1.0,0.0435,0.0,0.0,0.9994,1.0,0.9448,0.9995,code 46,2003,[],[],False,False,False,False,False,0
2001,We Own the Night,2007.0,0.0,0.4559,0.1823,Good Time,1.0,0.0968,0.0,0.0,0.8674,1.0,0.9932,0.8695,we own the night,2007,[],[],False,False,False,False,False,0
10946,Earth,2007.0,0.0,0.4554,0.1822,My Octopus Teacher,1.0,0.0455,0.0,0.0,0.9862,1.0,0.9998,0.9405,earth,2007,[],[],False,False,False,False,False,0
3127,The Revenge of Frankenstein,1958.0,0.0,0.4549,0.182,Phase IV,1.0,0.0476,0.0,0.0,0.9912,1.0,0.985,0.932,the revenge of frankenstein,1958,[],[],False,False,False,False,False,0
1908,Inherit the Wind,1960.0,0.0,0.4549,0.182,Marriage Story,1.0,0.0435,0.0,0.0,0.956,1.0,0.9843,0.9835,inherit the wind,1960,[],[],False,False,False,False,False,0
