,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
schema:aggregateRating,0.2040844,0.2070707,0.19811945,0.032216754,0.23091324,-0.31211752,0.004068027,-0.042739928,-0.043327443,0.23481931,0.16407989,0.24594745,-0.11603006,-0.26001525,-0.20721202,0.016473085,0.052469127,0.09437301,0.12257641,-0.23585926,0.1028333,0.05853573,0.0049950676,0.047018386,-0.11665231,-0.21917251,0.047418755,-0.11118733,-0.014513734,0.023710238,0.13406882,-0.10409313,-0.15005803,0.18427987,0.05479387,0.30627638,-0.07593652,0.13164735,-0.17279902,-0.16240795,-0.10086876,0.05869501,-0.08723464,-0.05875085,-0.032557774,-0.11726483,-0.0045157415,0.13991006,-0.036694407,-0.042585492
schema:character,-0.14385375,0.17779623,0.26866135,0.032110415,0.29385164,-0.2629369,-0.018592957,-0.07184196,-0.123159625,0.13292848,0.13924213,0.07082826,0.028116351,-0.29242855,-0.109626085,-0.16756555,-0.14434001,0.2660954,0.038452443,-0.23866907,0.121473014,-0.057516456,-0.10245407,-0.282931,-0.10305133,-0.019222483,0.12717968,-0.17709966,-0.34390894,0.014398019,0.18883114,0.11403875,-0.20663267,0.073967405,0.066416666,0.18203275,0.17564951,0.02468375,0.09758562,0.20516601,-0.17018016,-0.022286199,0.13279629,-0.1569846,0.09698687,-0.3083918,0.03802367,0.23020239,-0.21776098,0.043445017
schema:countryOfOrigin,-0.13280609,-0.06613964,0.36983162,-0.16049491,0.35236418,-0.29139206,0.18879582,0.122047395,-0.16835791,0.08752971,0.022598704,0.4133407,-0.27319,-0.2692197,0.12521623,-0.030236317,0.028447464,0.24557759,0.021354876,-0.17947488,0.31638917,-0.039076246,-0.09186152,-0.119705506,-0.14173779,-0.21873185,0.038227256,0.09389831,-0.37902868,-0.069739334,0.37049475,0.38454783,-0.20236677,0.02164015,-0.22442839,0.13870141,0.044458464,0.053713195,0.04350483,-0.2867925,-0.12602493,0.22766654,-0.10896992,-0.38990602,0.28053963,-0.063156344,0.022301553,-0.032847658,-0.33265275,-0.12034755
schema:datePublished,0.0006902645,0.26331106,0.11131934,0.19452167,0.03191777,-0.29491806,-0.11725281,-0.13274848,-0.18177056,0.17582148,0.14736941,0.38815057,0.016095601,-0.18245125,-0.19805315,0.06369994,-0.24725439,-0.1021703,-0.122182675,-0.27311793,0.25099233,-0.028829727,-0.08089348,-0.34510916,0.10288654,-0.05749778,0.18588032,-0.065261714,-0.4925214,-0.12568986,-0.12238001,-0.00031717392,0.111591384,0.16672443,-0.21175626,0.05885326,-0.22883704,0.22537944,-0.023259802,-0.11520103,0.31420577,0.078292795,0.17879842,-0.2103056,-0.14907159,-0.39239064,-0.039133664,0.095402926,-0.47244197,0.23646668
schema:director,0.030417753,0.036811426,0.31800783,0.115522854,0.30244845,-0.22951117,-0.017633257,-0.13682902,-0.16768485,0.055839974,-0.015422515,-0.071773924,-0.24817887,-0.30519262,-0.051180173,-0.00914379,-0.18817124,0.20451781,0.017194498,-0.27311924,-0.050893646,-0.03131249,-0.17874211,-0.018460557,-0.12504068,0.20290881,-0.039402917,0.06965151,-0.19095567,-0.2742445,0.24433471,0.07545165,-0.22126055,0.23268312,-0.38502917,-0.09709468,0.018117363,0.17605919,-0.097842105,-0.17053595,-0.051766314,-0.037129056,-0.21780051,-0.1262859,-0.028202891,-0.2821924,-0.022841096,-0.1518101,-0.16621178,-0.20042047
schema:duration,-0.14267525,-0.026657274,0.03361938,0.057535067,0.13817973,-0.013311021,-0.04219338,0.11735561,-0.17223698,-0.01672139,-0.29188794,0.26389182,-0.28884232,-0.28176907,-0.13978288,0.04535076,0.09201642,0.06535395,-0.23469733,-0.29935646,0.08464324,-0.08324157,-0.3016549,-0.46700728,0.12703337,0.08488043,0.16884083,-0.36101738,-0.33876446,-0.13173835,0.28682068,0.17856547,-0.16161385,0.15527545,0.18875958,0.011934341,-0.19139571,-0.0959627,-0.28802776,0.041059453,-0.10361019,-0.007440507,-0.05242316,-0.045543183,-0.020357065,-0.24844915,-0.060884442,0.26097897,-0.0009244047,0.1980748
schema:genre,-0.23124288,0.25925237,0.17822094,0.34460434,0.07437691,-0.63283193,0.30332237,-0.07492879,0.091036156,-0.08576989,-0.15407953,0.27040985,-0.29393604,-0.30287826,-0.029333275,-0.14514132,-0.026825346,0.14127553,-0.02088975,-0.23896965,0.100052714,0.20302795,-0.23027752,-0.44158018,0.13176538,0.06921324,-0.10820636,0.055689294,-0.36996296,-0.21026064,0.036885895,-0.101627186,-0.10036755,0.18306966,0.1048163,0.21892011,0.13497138,0.17849214,-0.30578998,-0.025959188,0.19214655,-0.2178547,0.107180186,0.067631096,-0.04955738,-0.599652,0.26668724,-0.11367387,-0.05356045,0.27571514
schema:inLanguage,0.01551164,0.18324426,0.37742192,-0.15264244,0.38872123,-0.3772902,0.22146034,-0.11915485,-0.021638896,0.25746125,0.21180055,0.11115084,-0.035695046,-0.20000987,0.05119003,0.10019125,-0.13071086,-0.1555522,-0.21608149,-0.2419171,0.21007374,0.20207793,-0.24788009,-0.2529429,0.045778524,-0.2410546,-0.014997291,0.013461683,-0.036476105,-0.12341251,-0.13094036,-0.0015561325,0.12112165,0.01813005,-0.032348234,0.38136423,-0.08492332,0.21978466,-0.30153403,-0.22308949,-0.17054714,0.23325732,-0.15091719,-0.2040833,-0.06698068,-0.14204577,0.19982953,-0.14263286,-0.10446809,0.29135594
schema:name,-0.1293537,0.007124317,-0.19287153,-0.09748225,0.0755354,-0.045332044,0.03231744,0.07057695,0.087277144,-0.04204922,-0.06837769,-0.04136787,0.14493094,-0.054190308,0.04235308,-0.19310828,0.07489743,0.07791389,0.06927899,-0.0040612877,0.1685058,0.07879715,0.11603092,0.008936152,-0.021682689,-0.17927544,0.17912379,-0.16680233,-0.128247,0.013470892,-0.08231988,0.0019021853,-0.044768862,0.140777,0.17687748,-0.08473496,0.14730312,-0.07391207,-0.074950084,0.17146203,-0.009321673,0.08074523,0.1681069,0.08868946,-0.043453395,-0.21499506,0.0016787619,0.15332542,0.016013717,0.19715244
schema:productionCompany,-0.04399618,-0.24179056,0.32014257,0.2108061,0.14438781,-0.16098046,0.05656248,-0.12143633,0.10306557,0.33465797,0.12676524,0.22219451,-0.15724485,-0.005413977,0.11173286,0.071692064,-0.28877527,0.13857873,0.23512892,-0.16317381,-0.12628274,0.24759896,-0.01852473,-0.31818244,0.09573959,0.26558396,0.10047095,-0.037963603,-0.31488398,0.055745684,0.08731908,0.20910966,-0.1563626,-0.00575347,-0.19498079,0.023787376,0.1557235,0.07587792,0.09350738,-0.03818101,-0.3115473,-0.07516175,-0.027213782,-0.15130286,0.0050943303,-0.3019001,0.22274114,-0.025883934,-0.04598807,0.01787347
schema:review,-0.12491023,0.27324468,0.4147826,-0.23712997,0.16082148,-0.060310125,-0.060724184,-0.038054366,0.049930364,0.2648249,-0.08199657,0.03204142,-0.16297884,-0.21011852,-0.06939561,-0.35110056,0.011295134,0.0024057513,0.007427025,-0.039294653,0.2850831,0.26943454,-0.24767248,-0.34173504,0.14928883,-0.027487928,-0.059006713,-0.2483618,-0.124227785,-0.004921581,0.30361673,0.4109852,-0.24896984,0.13315861,-0.028531032,0.21154486,-0.12300182,-0.19368294,0.16529462,0.18830547,-0.29437885,-0.053536564,0.20613243,-0.2357786,0.143511,-0.31065342,-0.08510068,0.25409344,0.077169016,0.0033373348
