Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-06-10,Bo Burnham: Inside,2021,https://boxd.it/1UXbuh,5,Yes,"this radiates comfort now is that a problem,,,, maybe",bo burnham,2021-06-08
2021-06-12,Army of the Dead,2021,https://boxd.it/1Vbwon,2,,see I expected this to be bad but it still surprised me with just <b>how</b> bad it was,,2021-06-05
2021-06-20,Isle of Dogs,2018,https://boxd.it/1WejVD,4,,I wanna adopt all the dogs where can I adopt all the dogs especially edward norton dog,"wesanderson, animation",2021-06-18
2021-06-20,The Grand Budapest Hotel,2014,https://boxd.it/1Wel3D,3.5,,"this is my second wes anderson movie and I just want to say that his movies feel like old point and click adventure games in the absolute best possible way. fixed camera angles, the camera moving only in one direction at a time, with absolutely stunning and beautifully designed detail-rich backgrounds. Every single shot is a work of art.",wesanderson,2021-06-20
2021-06-28,Fight Club,1999,https://boxd.it/1XkqQ7,4.5,,they were (brain) roommates,,2021-06-28
2021-06-30,Luca,2021,https://boxd.it/1XxEP9,3.5,,"Like H2O but the other way round, also omg they were roommates","disney, animation",2021-06-30
2021-07-04,Fear Street: 1994,2021,https://boxd.it/1Y3UDH,3,,"I fully expected this to suck but you know what it didn’t, I actually ended up caring for the main characters

go lesbians",,2021-07-04
2021-07-05,Kung Fu Panda,2008,https://boxd.it/1Ygc03,3.5,,I too had the noodle dream once 😳,animation,2021-07-05
2021-07-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1YoFHV,3.5,,"<b>“chicken isn’t vegan?”</b>

my mum after she tried to suggest chicken <i>again</i> despite me not eating meat for over a year now",,2021-07-06
2021-07-08,Ex Machina,2015,https://boxd.it/1YGKFL,4,,and tearing up the dance floor he did,,2021-07-08
2021-07-09,Kung Fu Panda 2,2011,https://boxd.it/1YNTX9,4,,"YOOOO this movie was amazing 
they handled Po’s arc so incredibly mature, and that speech at the end? yo wow just wow
It started out a bit rough but all in all I believe it’s even better than its predecessor!",animation,2021-07-09
